budget,genres,homepage,id,keywords,original_language,overview,popularity,revenue,runtime,tagline,title,vote_average,vote_count,movie_id,cast,director,year,imdb_id,poster_path,num_critic_for_reviews,num_user_for_reviews,imdb_score,movie_facebook_likes
25000000,"['Drama', 'Crime']",0,278,"['prison', 'corruption', 'police brutality', 'prison cell', 'delinquent', 'parole board', 'escape from prison', 'wrongful imprisonment', 'framed for murder', '1940s']",en,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",136.747729,28341469,142,Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,8.5,8205,278,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'Clancy Brown', 'Mark Rolston']",['Frank Darabont'],1994,tt0111161,posters/poster_278.jpg,199,4144,9.3,108000
6000000,"['Drama', 'Crime']",http://www.thegodfather.com/,238,"['italy', 'love at first sight', 'loss of father', 'patriarch', 'organized crime', 'mafia', 'lawyer', 'italian american', 'crime family', 'rise to power', 'mob boss', '1940s']",en,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",143.659698,245066411,175,An offer you can't refuse.,The Godfather,8.4,5893,238,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Richard S. Castellano', 'Robert Duvall']",['Francis Ford Coppola'],1972,tt0068646,posters/poster_238.jpg,208,2238,9.2,43000
185000000,"['Drama', 'Action', 'Crime', 'Thriller']",http://thedarkknight.warnerbros.com/dvdsite/,155,"['dc comics', 'crime fighter', 'secret identity', 'scarecrow', 'sadism', 'chaos', 'gotham city', 'vigilante', 'joker', 'superhero', 'based on comic book', 'tragic hero', 'organized crime', 'criminal mastermind', 'district attorney', 'imax', 'super villain', 'super powers', 'batman']",en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",187.322927,1004558444,152,Why So Serious?,The Dark Knight,8.2,12002,155,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine', 'Maggie Gyllenhaal']",['Christopher Nolan'],2008,tt0468569,posters/poster_155.jpg,645,4667,9.0,37000
13000000,"['Drama', 'Crime']",0,240,"['italo-american', 'cuba', 'vororte', 'melancholy', 'praise', 'revenge', 'mafia', 'lawyer', 'blood', 'corrupt politician', 'bloody body of child', 'man punches woman']",en,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",105.792936,47542841,200,"I don't feel I have to wipe everybody out, Tom. Just my enemies.",The Godfather: Part Ii,8.3,3338,240,"['Al Pacino', 'Robert Duvall', 'Diane Keaton', 'Robert De Niro', 'John Cazale']",['Francis Ford Coppola'],1974,tt0071562,posters/poster_240.jpg,149,650,9.0,14000
350000,['Drama'],0,389,"['judge', 'jurors', 'sultriness', 'death penalty', 'father murder', 'puerto rican', 'anonymity', 'court case', 'heat', 'group', 'class', 'innocence', 'court', 'courtroom']",en,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",59.259204,1000000,96,Life is in their hands. Death is on their minds.,12 Angry Men,8.2,2078,389,"['Henry Fonda', 'Martin Balsam', 'John Fiedler', 'Lee J. Cobb', 'E.G. Marshall']",['Sidney Lumet'],1957,tt0050083,posters/poster_389.jpg,177,888,8.9,40000
8000000,"['Thriller', 'Crime']",0,680,"['transporter', 'brothel', 'drug dealer', 'boxer', 'massage', 'stolen money', 'crime boss', 'dance contest', 'junkyard', 'kamikaze', 'ambiguous ending', 'briefcase', 'redemption', 'heirloom', 'pulp fiction', 'reference to al green', 'theft', 'brutality']",en,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",121.463076,213928762,154,Just because you are a character doesn't mean you have character.,Pulp Fiction,8.3,8428,680,"['John Travolta', 'Samuel L. Jackson', 'Uma Thurman', 'Bruce Willis', 'Ving Rhames']",['Quentin Tarantino'],1994,tt0110912,posters/poster_680.jpg,215,2195,8.9,45000
22000000,"['Drama', 'History', 'War']",http://www.schindlerslist.com/,424,"['factory', 'concentration camp', 'hero', 'holocaust', 'world war ii', 'nazis', 'defense industry', 'biography', 'the holocaust']",en,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,104.469351,321365567,195,"Whoever saves one life, saves the world entire.",Schindler'S List,8.3,4329,424,"['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes', 'Caroline Goodall', 'Jonathan Sagall']",['Steven Spielberg'],1993,tt0108052,posters/poster_424.jpg,174,1273,8.9,41000
1200000,['Western'],"http://www.mgm.com/#/our-titles/766/The-Good,-the-Bad-and-the-Ugly",429,"['bounty hunter', 'refugee', 'gold', 'anti hero', 'gallows', 'hitman', 'army', 'outlaw', 'shootout', 'moral ambiguity', 'spaghetti western']",it,"While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",88.377076,6000000,161,For three men the Civil War wasn't hell. It was practice.,"The Good, The Bad And The Ugly",8.1,2311,429,"['Eli Wallach', 'Clint Eastwood', 'Lee Van Cleef', 'Aldo Giuffrè', 'Luigi Pistilli']",['Sergio Leone'],1966,tt0060196,posters/poster_429.jpg,181,780,8.9,20000
94000000,"['Adventure', 'Fantasy', 'Action']",http://www.lordoftherings.net,122,"['elves', 'orcs', 'middle-earth (tolkien)', 'based on novel', 'suspicion', 'bravery', 'war', 'honor', 'troll', 'brutality', 'violence', 'ghost', 'end of trilogy', 'quest', 'sword and sorcery']",en,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",123.630332,1118888979,201,The eye of the enemy is moving.,The Lord Of The Rings: The Return Of The King,8.1,8064,122,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Liv Tyler', 'Orlando Bloom']",['Peter Jackson'],2003,tt0167260,posters/poster_122.jpg,328,3189,8.9,16000
63000000,['Drama'],http://www.foxmovies.com/movies/fight-club,550,"['support group', 'dual identity', 'nihilism', 'rage and hate', 'insomnia', 'dystopia', 'violence']",en,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",146.75739099999996,100853753,139,Mischief. Mayhem. Soap.,Fight Club,8.3,9413,550,"['Edward Norton', 'Brad Pitt', 'Meat Loaf', 'Jared Leto', 'Helena Bonham Carter']",['David Fincher'],1999,tt0137523,posters/poster_550.jpg,315,2968,8.8,48000
